Date,USD
1/1/2000,553.13
2/1/2000,552.04
3/1/2000,523.77
4/1/2000,523.77
5/1/2000,528.13
6/1/2000,555.93
7/1/2000,528.13
8/1/2000,555.48
9/1/2000,560.53
10/1/2000,528.13
11/1/2000,525.48
12/1/2000,525.48
13/01/2000,525.48
14/01/2000,525.7
15/01/2000,555.62
16/01/2000,555.69
17/01/2000,525.7
18/01/2000,524.55
19/01/2000,524.55
20/01/2000,524.55
21/01/2000,524.55
22/01/2000,555.08
23/01/2000,555.37
24/01/2000,528.93
25/01/2000,528.93
26/01/2000,528.93
27/01/2000,530.92
28/01/2000,529.02
29/01/2000,550.52
30/01/2000,552.18
31/01/2000,529.02
1/2/2000,528.45
2/2/2000,528.45
3/2/2000,528.45
4/2/2000,528.45
7/2/2000,528.19
8/2/2000,527.44
9/2/2000,527.16
10/2/2000,526.67
11/2/2000,527.14
14/02/2000,527.14
15/02/2000,527.14
16/02/2000,527.14
17/02/2000,527.78
18/02/2000,527.78
21/02/2000,527.78
22/02/2000,528.09
23/02/2000,528.09
24/02/2000,528.38
25/02/2000,528.78
28/02/2000,528.78
29/02/2000,527.84
1/3/2000,527.56
2/3/2000,527.13
3/3/2000,526.73
6/3/2000,525.52
7/3/2000,525.52
8/3/2000,525.52
9/3/2000,526.09
10/3/2000,527.53
13/03/2000,527.53
14/03/2000,527.93
15/03/2000,527.93
16/03/2000,528.63
17/03/2000,528.63
20/03/2000,528.63
21/03/2000,528.11
22/03/2000,528.11
23/03/2000,528.11
24/03/2000,527.88
27/03/2000,527.88
28/03/2000,527.97
29/03/2000,527.61
30/03/2000,527.61
31/03/2000,527.61
3/4/2000,527.61
4/4/2000,528.34
5/4/2000,529.45
6/4/2000,529.45
10/4/2000,529.45
11/4/2000,530.47
12/4/2000,531.36
13/04/2000,531.36
14/04/2000,532.5
17/04/2000,532.5
18/04/2000,532.4
19/04/2000,532.4
20/04/2000,532.35
21/04/2000,532.15
25/04/2000,531.85
26/04/2000,531.04
27/04/2000,530.72
28/04/2000,530.72
29/04/2000,530.72
1/5/2000,530.72
2/5/2000,530.53
3/5/2000,530.53
4/5/2000,531.1
5/5/2000,531.1
6/5/2000,531.33
10/5/2000,532.25
11/5/2000,533.74
12/5/2000,534.61
15/05/2000,534.53
16/05/2000,534.69
17/05/2000,534.59
18/05/2000,535.98
19/05/2000,536.11
22/05/2000,536.33
23/05/2000,536.33
24/05/2000,535.91
25/05/2000,535.75
26/05/2000,535.75
29/05/2000,536.05
30/05/2000,536.55
31/05/2000,536.55
1/6/2000,536.62
2/6/2000,537.44
5/6/2000,537.79
6/6/2000,538.74
7/6/2000,540.22
8/6/2000,540.47
9/6/2000,541.39
12/6/2000,541.39
13/06/2000,542.44
14/06/2000,543.94
15/06/2000,545.1
16/06/2000,545.6
19/06/2000,545.6
20/06/2000,546.1
21/06/2000,547.15
22/06/2000,547.15
23/06/2000,547.15
26/06/2000,546.98
27/06/2000,546.98
28/06/2000,547.12
29/06/2000,547.12
30/06/2000,547.89
3/7/2000,547.93
4/7/2000,548.53
6/7/2000,548.53
7/7/2000,548.53
10/7/2000,548.03
11/7/2000,548.03
12/7/2000,548.23
13/07/2000,548.23
14/07/2000,548.39
17/07/2000,548.6
18/07/2000,548.25
19/07/2000,548.02
20/07/2000,548.53
21/07/2000,548.53
24/07/2000,548.53
25/07/2000,548.25
26/07/2000,548.25
27/07/2000,547.55
28/07/2000,547.55
31/07/2000,545.75
1/8/2000,545
2/8/2000,543.85
3/8/2000,543.85
4/8/2000,542.53
7/8/2000,539.95
8/8/2000,538
9/8/2000,537
10/8/2000,537
11/8/2000,537
14/08/2000,537
15/08/2000,537
16/08/2000,538.61
17/08/2000,539.24
18/08/2000,540.6
21/08/2000,541.29
22/08/2000,541.8
23/08/2000,541.36
24/08/2000,541.9
25/08/2000,541.74
28/08/2000,542.16
29/08/2000,542.16
30/08/2000,541.96
